[Mon May 04 15:34:47 CEST 2026][INFO] 180: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 181: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 182: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 183: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 184: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 185: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 186: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 187: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 188: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 189: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 190: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 191: Breite: 1280, Höhe: 960 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 192: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 193: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 194: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 195: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 196: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 197: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 198: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 199: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 200: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 201: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 202: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 203: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 204: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 205: Breite: 1280, Höhe: 1024 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 206: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 207: Breite: 1360, Höhe: 768 (Fenster.java:206)
[Mon May 04 15:34:47 CEST 2026][INFO] 208: Breite: 1360, Höhe: 768 (Fenster.java:206)
